UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
3	2
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	0
0	0
1	14
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	137
0	1
0	0
0	0
0	33
0	464
0	61
0	0
0	0
0	598
0	423
19	725
0	231
0	495
10	235
0	319
0	109
16	0
2	423
868	754
0	420
0	285
0	216
1	616
0	391
10	216
0	612
44	2852
5	2779
0	56
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	3505
49	4125
47	753
5	2867
4	248
0	379
1	4003
0	1065
0	1
107	113
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	6
0	9
0	0
0	0
0	35
0	68
6	1002
0	31
0	16
0	414
0	914
5	163
0	425
7	23
0	122
0	12
0	63
0	152
1	30
0	157
20	3
0	3
0	0
0	0
0	67
0	3
0	246
0	155
0	154
0	151
0	3
0	4
0	126
0	114
0	23
0	151
0	18
0	6
0	25
0	13
0	0
0	173
0	5064
0	0
0	0
0	0
0	0
267	1398
0	219
0	35
0	941
0	404
0	152
3	1318
1	1311
0	333
14	10
0	531
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	70
0	96
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	23
0	0
0	0
0	0
0	38
0	2892
0	6
0	0
3	0
1	426
0	0
0	0
0	0
0	394
0	0
0	8
0	0
0	0
1142	311
0	41
0	39
0	12
0	12
0	37
11	4
0	4
2	0
0	3
0	3
0	7005
0	0
0	0
25	25
1	25
0	1
0	6
0	9
2084	1
0	55
0	1
0	1
0	1
0	57
0	0
0	0
2	1304
0	1313
0	1345
0	35
0	1016
1	1146
0	1299
1	68
0	197
0	1085
10	179
5	191
0	35
0	0
0	0
0	16
0	0
0	0
0	0
0	16
1	130
15	131
0	112
0	111
1	98
0	0
5	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	1251
0	809
6	879
0	638
14	819
4	497
4	146
1	0
0	9
27	217
3	18
0	18
0	55
0	15
0	61
2	58
0	18
0	55
0	18
0	18
0	192
0	17
2	1
0	29
0	21
0	29
0	15
0	18
0	18
0	62
4	17
0	15
0	6
0	19
0	0
747	1837
0	156
0	221
2	229
0	49
3	1182
0	101
0	199
0	0
0	0
0	0
0	0
4	52
0	0
0	5
1	1235
0	0
0	5
0	0
0	0
2	613
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	114
0	0
0	7
0	0
0	0
